center,Z
30,0.01274707241662179
35,-0.028230425540533136
40,-0.029294852846385142
45,-0.07253539808992882
50,-0.007083462620254548
55,-0.15646080382929456
60,0.1739092910445478
65,-0.05183762930172293
70,0.10565956961258793
75,-0.048607789236330856
80,8.893025296227014e-05
85,-0.06909136644400926
90,0.0054668092461244745
95,-0.029894492825346737
100,-0.03155771436273885
105,0.027063265470883627
110,0.010318412723565124
115,-0.006637797439436516
120,-0.05405083926649841
125,0.026963459741594628
130,-0.0787163806226779
135,-0.020810185534103576
140,0.039433716863868915
145,0.03962737242913651
150,-0.02595108470948726
155,-0.07263461384733771
