center,Z
30,0.011742986052042645
35,-0.011472417145624109
40,0.008319743960708899
45,-0.10223459420181256
50,-0.04107046100389093
55,-0.10709971869694856
60,0.21157040046320907
65,-0.03835161472239978
70,0.11240376462447801
75,-0.04771161967597862
80,0.010302513387815092
85,-0.06720062204819353
90,0.009312819673287336
95,-0.021300178146440734
100,-0.024073650680116465
105,0.03242095622614981
110,0.011429637053509713
115,0.019015814710770546
120,-0.030225592495706086
125,0.011646626821392302
130,-0.08971178668884149
135,0.02576662963273646
140,0.07051604837844283
145,0.02720204128680878
150,-0.013939069575210905
155,-0.058477651012367404
