center,Z
30,-0.055939030780059296
35,0.05628774546343199
40,0.11202480723343496
45,-0.00792113009494131
50,0.052673534225092154
55,0.040489321726166996
60,0.009834176003884892
65,-0.028990003800281168
70,0.008952617086358944
75,-0.07325903678206207
80,0.06688015158788287
85,-0.099208841995547
90,0.04837567360078223
95,-0.02327818393565545
100,0.05190768129533399
105,-0.007149898927665158
110,-0.03787740590177473
115,0.056090443949386115
120,-0.022336455919175435
125,-0.031198339843762052
130,0.04224682367039599
135,-0.04040198323060126
140,0.17369905831226756
145,-0.228258835454582
150,0.16632181808105173
155,-0.024431669011187405
